"";"land";"Alkohol"
"1";"land 14";10
"2";"land 30";10,2
"3";"land 10";10,3
"4";"land 12";10,5
"5";"land 23";10,9
"6";"land 8";11,2
"7";"land 27";11,4
"8";"land 17";11,7
"9";"land 19";12,1
"10";"land 26";13,8
"11";"land 3";13,9
"12";"land 21";14
"13";"land 9";15,1
"14";"land 25";16,1
"15";"land 13";16,3
"16";"land 5";16,8
"17";"land 24";16,8
"18";"land 11";17,7
"19";"land 2";18,6
"20";"land 4";18,8
"21";"land 22";19,9
"22";"land 29";22,1
"23";"land 7";22,4
"24";"land 6";24,8
"25";"land 1";NA
"26";"land 15";NA
"27";"land 16";NA
"28";"land 18";NA
"29";"land 20";NA
"30";"land 28";NA
